drivers_type,loss_year,loss_area_ha,gross_carbon_emissions_Mg
Hard commodities,2001,927.4692184604665,283869.5612464134
Logging,2001,43917.74070891903,14291310.692201538
Other natural disturbances,2001,1088.6844271527673,291901.6968528988
Permanent agriculture,2001,8141.194898838639,2599205.9234922426
Settlements & Infrastructure,2001,2424.9682178410953,810023.6807274274
Shifting cultivation,2001,0.2184271059429253,109.09944612835409
Unknown,2001,1095.3711429747552,256787.9658966478
Wildfire,2001,161217.9305,10495320.166643966
Hard commodities,2002,1048.708267734063,300282.8351514695
Logging,2002,51887.76877271269,17529465.613910943
Other natural disturbances,2002,1059.735344960454,306854.5978905684
Permanent agriculture,2002,11718.750197125135,3393100.7145039197
Settlements & Infrastructure,2002,2851.533733705877,912282.2112617864
Unknown,2002,1025.5845420706316,242319.4013036689
Wildfire,2002,242558.22735164434,14942946.52996471
Hard commodities,2003,1466.8551768867399,417828.6058875008
Logging,2003,70493.25921,24549569.765292406
Other natural disturbances,2003,1794.064673908612,513207.4853846671
Permanent agriculture,2003,17005.96644146723,5880883.518309868
Settlements & Infrastructure,2003,5861.164627051899,1962309.055334656
Shifting cultivation,2003,1.4616643869129775,740.2549488739613
Unknown,2003,2182.6825152071233,510328.87569166045
Wildfire,2003,275041.70157417876,26994508.577888537
Hard commodities,2004,1718.528768837798,491284.2971182513
Logging,2004,63544.43605383059,23750288.501241725
Other natural disturbances,2004,1200.3366802247244,341088.5636239723
Permanent agriculture,2004,14450.04280493537,4720354.285060702
Settlements & Infrastructure,2004,4405.895365706698,1428681.730278315
Shifting cultivation,2004,11.729457450668411,4649.548887641798
Unknown,2004,1281.212111415025,316473.4700149926
Wildfire,2004,38156.503808382615,6437541.133775452
Hard commodities,2005,2257.6407350898903,641196.1568939941
Logging,2005,62336.40337963773,24088778.39107571
Other natural disturbances,2005,1849.3620403447437,546184.7743322118
Permanent agriculture,2005,13446.283447968735,4586033.6382664945
Settlements & Infrastructure,2005,4372.002511997618,1450175.4989096164
Shifting cultivation,2005,2.4422341222569446,1289.4987575486537
Unknown,2005,1301.7096459287798,323681.22061763756
Wildfire,2005,91458.34027451427,9272789.147167236
Hard commodities,2006,2540.1109500013117,718061.9300517347
Logging,2006,66784.19567883258,26962244.082195986
Other natural disturbances,2006,1892.8712441604564,591691.9535967723
Permanent agriculture,2006,15154.023422592432,5325085.113492466
Settlements & Infrastructure,2006,3710.5566329735043,1248171.2453164337
Shifting cultivation,2006,1.081654989265408,537.6115403745362
Unknown,2006,1260.7520383591434,340312.3455569171
Wildfire,2006,94960.72199630224,10820801.485599166
Hard commodities,2007,3545.2868717751508,1037846.4866161259
Logging,2007,92073.08048431914,38695949.056290165
Other natural disturbances,2007,2790.720911326679,835535.4041461305
Permanent agriculture,2007,15890.390623248528,5511425.253301605
Settlements & Infrastructure,2007,4634.377562058283,1538683.4234671216
Shifting cultivation,2007,9.578865733377828,4375.813079613358
Unknown,2007,1934.5172471631292,469513.2050091361
Wildfire,2007,251845.4753500923,30679785.90435677
Hard commodities,2008,3065.9996006442134,934833.5130619513
Logging,2008,65026.52271655871,28685838.641896147
Other natural disturbances,2008,1270.7688169684031,378621.94441420643
Permanent agriculture,2008,12802.235114925108,4627354.771820495
Settlements & Infrastructure,2008,3909.459840624522,1303852.4135456455
Shifting cultivation,2008,0.4303209280989583,205.22151525728523
Unknown,2008,1233.0503740316988,322241.3961509002
Wildfire,2008,118415.22548246791,14341291.500330234
Hard commodities,2009,2513.8616419648106,811971.9594695284
Logging,2009,74035.94018534996,32530047.297091406
Other natural disturbances,2009,2261.7562841012295,678497.4981427641
Permanent agriculture,2009,13851.567717440985,5291535.511114922
Settlements & Infrastructure,2009,3430.9987773027337,1281438.2777504309
Shifting cultivation,2009,2.203453897124566,1053.9260280795615
Unknown,2009,1397.4355839379991,385120.5336686065
Wildfire,2009,106215.83678290545,20126777.753530633
Hard commodities,2010,3214.234947954862,965298.7883
Logging,2010,57850.826849509125,27507488.248135015
Other natural disturbances,2010,1206.9271552665066,374112.8982
Permanent agriculture,2010,8936.111670250944,3285642.643085701
Settlements & Infrastructure,2010,2652.074838949081,895677.1298518453
Shifting cultivation,2010,0.1304022531195746,54.847790423442646
Unknown,2010,1668.388924006383,414768.91437330504
Wildfire,2010,215196.56265989307,15589016.477160944
Hard commodities,2011,2854.5085422694633,861929.9043608231
Logging,2011,60419.59922689215,29640974.322146915
Other natural disturbances,2011,4844.2237010303925,1899428.9807494385
Permanent agriculture,2011,9330.211061968239,3790244.057165199
Settlements & Infrastructure,2011,2407.604629035572,861415.4939911324
Shifting cultivation,2011,7.015834936586371,3364.9513827316023
Unknown,2011,1254.075079244483,391709.60208665155
Wildfire,2011,40198.89579641387,6873724.810509239
Hard commodities,2012,2244.0729022410624,705111.3273
Logging,2012,55377.60093976556,28241007.06
Other natural disturbances,2012,1526.402822056617,486748.2736340764
Permanent agriculture,2012,10697.323464228908,4234046.676851739
Settlements & Infrastructure,2012,3573.7244199437805,1315673.217381211
Shifting cultivation,2012,0.726135737,360.4465612555934
Unknown,2012,1941.339583239367,573621.2872495933
Wildfire,2012,64441.74841234988,11225652.893597579
Hard commodities,2013,2312.292539167698,682059.7200076842
Logging,2013,53307.30442994341,30026971.98731118
Other natural disturbances,2013,1979.5932065246343,745053.6861706153
Permanent agriculture,2013,7937.630270817331,3257585.1868856363
Settlements & Infrastructure,2013,2866.2310599958814,1091750.9353441454
Shifting cultivation,2013,8.719805959,4032.6666945564684
Unknown,2013,1701.1306167354157,480073.0924332487
Wildfire,2013,189980.8317018257,37550471.61
Hard commodities,2014,2242.9013674066614,699468.5923891712
Logging,2014,62881.46704101653,36115856.50956599
Other natural disturbances,2014,2034.473071493953,670278.9350988495
Permanent agriculture,2014,14276.432050937783,5082010.055692462
Settlements & Infrastructure,2014,3104.464554151131,1189550.7497247865
Shifting cultivation,2014,13.025660391682942,5377.914907005121
Unknown,2014,1806.129214875183,513326.3574455296
Wildfire,2014,195381.77863013867,36769972.720912166
Hard commodities,2015,2092.634646002766,614884.3609960756
Logging,2015,58278.52141757792,34978725.15193362
Other natural disturbances,2015,1324.2958036340078,575205.3892778561
Permanent agriculture,2015,8940.929952608996,3643413.0698804255
Settlements & Infrastructure,2015,2806.107345778316,1007498.3593885859
Shifting cultivation,2015,0.9587421107476128,337.0618652049703
Unknown,2015,829.3778956951622,265682.1269493662
Wildfire,2015,187301.46357817913,29422187.053911276
Hard commodities,2016,4198.103799561494,1289182.7309758933
Logging,2016,94134.26967,57478942.089490086
Other natural disturbances,2016,1372.336499832356,515260.6233448459
Permanent agriculture,2016,15537.486177904728,6871019.742927907
Settlements & Infrastructure,2016,4180.124797255426,1577209.0855765827
Shifting cultivation,2016,3.2566127521066623,1955.288391736469
Unknown,2016,537.9686971342899,170888.2437841885
Wildfire,2016,310940.1392659747,55737004.26969274
Hard commodities,2017,3429.419829241592,1030859.1651436164
Logging,2017,82088.38594657542,50279994.240473546
Other natural disturbances,2017,1140.6268056004835,490186.5252109064
Permanent agriculture,2017,11413.909654045327,5091348.543595589
Settlements & Infrastructure,2017,3397.7402255790785,1272670.1993706727
Shifting cultivation,2017,4.382744257498914,1760.1077007681822
Unknown,2017,472.9957493103158,162007.24230983126
Wildfire,2017,134930.05872065597,30485330.637686364
Hard commodities,2018,2011.7757574856714,596320.6596510569
Logging,2018,67827.89143012963,40592312.45250714
Other natural disturbances,2018,1087.800269711804,427834.97592747194
Permanent agriculture,2018,8932.189159917578,3829636.207864789
Settlements & Infrastructure,2018,2202.7430802231997,846903.9150707016
Shifting cultivation,2018,8.262096714728731,3604.8696000195177
Unknown,2018,368.24214667357046,99410.87974562471
Wildfire,2018,168314.8074517618,30480835.009474773
Hard commodities,2019,2279.5592039780386,731092.2206265156
Logging,2019,74866.55080828576,42042330.563939005
Other natural disturbances,2019,3460.484305489423,1197279.5227582438
Permanent agriculture,2019,12096.16205279616,5045506.803177269
Settlements & Infrastructure,2019,2494.6140578978266,938488.1454729099
Shifting cultivation,2019,1.9253146489290365,995.4345074318467
Unknown,2019,1030.404837020573,303124.5002089172
Wildfire,2019,1565317.4113623104,280312107.27818024
Hard commodities,2020,2481.354439738704,750639.8100884657
Logging,2020,78883.1999,44913526.73810697
Other natural disturbances,2020,1059.5235820972457,392011.64689771953
Permanent agriculture,2020,8020.602004349345,3525202.402231486
Settlements & Infrastructure,2020,1825.3340487731168,740665.5886238763
Shifting cultivation,2020,2.6434439143023005,1318.4724465343388
Unknown,2020,774.5057048499648,217468.52430730412
Wildfire,2020,2263470.8205291512,513439271.3252981
Hard commodities,2021,1806.2003573913303,578001.9893
Logging,2021,56814.36523758485,43981130.928024486
Other natural disturbances,2021,580.7304546710433,222048.36349804784
Permanent agriculture,2021,6114.252681718676,3141981.401758692
Settlements & Infrastructure,2021,2218.5343122224585,864747.0372870786
Shifting cultivation,2021,0.3322002039984809,155.58331659055747
Unknown,2021,523.6393061894717,146141.12708979863
Wildfire,2021,192986.90139223385,48933811.11280552
Hard commodities,2022,2282.957175723521,791790.2812986512
Logging,2022,41423.52363076699,36042512.616554566
Other natural disturbances,2022,480.3579244809775,183461.53634812636
Permanent agriculture,2022,5128.995071334192,2502797.015164931
Settlements & Infrastructure,2022,2168.976445256259,847240.4401004108
Shifting cultivation,2022,0.6994071365538195,310.4874901349341
Unknown,2022,352.4242252152534,114303.69757828313
Wildfire,2022,67148.51206931533,14247944.393668883
Hard commodities,2023,2303.148181629895,772935.5534153578
Logging,2023,32005.421497009243,28628915.717109192
Other natural disturbances,2023,123.26245149680992,40468.20420068688
Permanent agriculture,2023,5064.016023085125,2749419.0429939977
Settlements & Infrastructure,2023,1435.4524832618133,551509.7546270848
Shifting cultivation,2023,3.320753597093099,1367.8401285935627
Unknown,2023,106.28148436339899,26848.46648751672
Wildfire,2023,149672.3545518949,27208861.860786095
Hard commodities,2024,1468.3502340492887,524705.4486439738
Logging,2024,32716.902190040946,28539153.356256783
Other natural disturbances,2024,564.8123967485669,252673.0067098473
Permanent agriculture,2024,4652.175239343227,2306591.1781720435
Settlements & Infrastructure,2024,1237.9842789903207,492069.18141991476
Shifting cultivation,2024,3.024727701745876,1341.8432980211464
Unknown,2024,165.81952362750218,54088.226298430076
Wildfire,2024,139860.85342570618,26805130.556166194
