Name ,Status,Date of Classification
Caladenia leucochila,Endangered,11-May-18
Caladenia lowanensis,Endangered,16-Jul-00
Caladenia macroclavia,Endangered,16-Jul-00
Caladenia orientalis,Endangered,16-Jul-00
Caladenia ovata,Endangered,5-Mar-25
Caladenia richardsiorum,Endangered,16-Jul-00
Caladenia rigida,Endangered,16-Jul-00
Caladenia robinsonii,Endangered,16-Jul-00
Caladenia rosella,Endangered,16-Jul-00
Caladenia tensa,Endangered,16-Jul-00
Caladenia thysanochila,Endangered,16-Jul-00
Caladenia viridescens,Endangered,16-Jul-00
Caladenia williamsiae,Endangered,18-Aug-06
Caladenia winfieldii,Endangered,16-Jul-00
Caladenia xanthochila,Endangered,16-Jul-00
Caladenia xantholeuca,Endangered,16-Jul-00
Callitris oblonga subsp. oblonga,Endangered,16-Jul-00
Calochilus psednus,Endangered,16-Jul-00
Calochilus pulchellus,Endangered,5-Oct-22
Calochilus richiae,Endangered,16-Jul-00
Calotis moorei,Endangered,16-Jul-00
Calytrix breviseta subsp. breviseta,Endangered,16-Jul-00
Carronia pedicellata,Endangered,16-Jul-00
Cassinia heleniae,Endangered,7-Sep-23
Cassinia theodorii,Endangered,5-Mar-25
Centrolepis pedderensis,Endangered,26-Nov-08
Chamelaucium sp. Gingin (N.G.Marchant 6) = Chamelaucium lullfitzii,Endangered,16-Jul-00
Chiloglottis anaticeps,Endangered,5-Oct-22
Chingia australis,Endangered,16-Jul-00
Chordifex abortivus,Endangered,16-Jul-00
Choretrum spicatum subsp. spicatum,Endangered,7-Sep-23
Chorizema humile,Endangered,16-Jul-00
Chorizema varium,Endangered,16-Jul-00
Commersonia erythrogyna,Endangered,16-Jul-00
Commersonia prostrata,Endangered,16-Jul-00
Conospermum densiflorum subsp. unicephalatum,Endangered,16-Jul-00
Conostylis dielsii subsp. teres,Endangered,16-Jul-00
Conostylis drummondii,Endangered,16-Jul-00
Conostylis lepidospermoides,Endangered,16-Jul-00
Conostylis micrantha,Endangered,16-Jul-00
Conostylis misera,Endangered,16-Jul-00
Conostylis seorsiflora subsp. trichophylla,Endangered,16-Jul-00
Conostylis wonganensis,Endangered,16-Jul-00
Coopernookia georgei,Endangered,16-Jul-00
Coprosma baueri,Endangered,25-Nov-03
Coprosma pilosa,Endangered,25-Nov-03
Corchorus cunninghamii,Endangered,16-Jul-00
Corokia whiteana,Endangered,5-Oct-22
Correa eburnea,Endangered,24-Jan-14
Correa lawrenceana var. genoensis,Endangered,16-Jul-00
Corunastylis brachystachya,Endangered,16-Jul-00
Cossinia australiana,Endangered,16-Jul-00
Craspedia preminghana,Endangered,6-Jul-04
Crepidium lawleri = Dienia lawleri,Endangered,16-Jul-00
Cyathea exilis,Endangered,16-Jul-00
Cycas megacarpa,Endangered,16-Jul-00
Cycas ophiolitica,Endangered,16-Jul-00
Cynanchum elegans,Endangered,16-Jul-00
Cyperus cephalotes,Endangered,16-Jul-00
Cyphanthera scabrella,Endangered,5-Sep-25
Daphnandra johnsonii,Endangered,16-Jul-00
Darwinia acerosa,Endangered,16-Jul-00
Darwinia apiculata,Endangered,16-Jul-00
Darwinia carnea,Endangered,16-Jul-00
Darwinia chapmaniana,Endangered,16-Jul-00
Darwinia ferricola,Endangered,16-Jul-00
Darwinia oxylepis,Endangered,16-Jul-00
Darwinia polychroma,Endangered,16-Jul-00
Darwinia whicherensis,Endangered,16-Jul-00
Darwinia wittwerorum,Endangered,16-Jul-00
Davidsonia jerseyana,Endangered,16-Jul-00
Davidsonia johnsonii,Endangered,16-Jul-00
Daviesia bursarioides,Endangered,16-Jul-00
Daviesia cunderdin,Endangered,16-Jul-00
Daviesia dielsii,Endangered,11-Jun-09
Daviesia euphorbioides,Endangered,16-Jul-00
Daviesia megacalyx,Endangered,16-Jul-00
Daviesia microcarpa,Endangered,16-Jul-00
Daviesia obovata,Endangered,8-Jan-09
Daviesia speciosa,Endangered,16-Jul-00
Dendrobium antennatum,Endangered,16-Jul-00
Dendrobium brachypus,Endangered,25-Nov-03
Dendrobium mirbelianum,Endangered,16-Jul-00
Dendrobium nindii,Endangered,16-Jul-00
Denhamia megacarpa,Endangered,5-Oct-22
Deyeuxia appressa,Endangered,16-Jul-00
Deyeuxia drummondii,Endangered,16-Jul-00
Deyeuxia talariata,Endangered,5-Sep-25
Dianella amoena,Endangered,16-Jul-00
Dichanthium queenslandicum,Endangered,26-Feb-13
Diospyros mabacea,Endangered,16-Jul-00
Diplazium pallidum,Endangered,16-Jul-00
Diploglottis campbellii,Endangered,16-Jul-00
Diplolaena andrewsii,Endangered,15-Feb-18
Dipodium campanulatum,Endangered,21-May-15
Dipodium pictum,Endangered,16-Jul-00
Diuris aequalis,Endangered,2-Mar-21
Diuris basaltica,Endangered,16-Jul-00
Diuris eborensis,Endangered,11-May-18
Diuris fragrantissima,Endangered,16-Jul-00
Diuris lanceolata,Endangered,16-Jul-00
Diuris pedunculata,Endangered,16-Jul-00
Diuris purdiei,Endangered,16-Jul-00
Dodonaea subglandulifera,Endangered,16-Jul-00
Drakaea confluens,Endangered,16-Jul-00
Drakaea elastica,Endangered,16-Jul-00
Drakaea isolata,Endangered,16-Jul-00
Drummondita ericoides,Endangered,16-Jul-00
Elaeocarpus miegei,Endangered,31-Mar-22
Elaeocarpus sedentarius,Endangered,16-Jul-00
Elaeocarpus williamsianus,Endangered,16-Jul-00
Endiandra cooperana,Endangered,16-Jul-00
Endiandra floydii,Endangered,16-Jul-00
Epacris apsleyensis,Endangered,16-Jul-00
Epacris barbata,Endangered,26-Nov-08
Epacris exserta,Endangered,16-Jul-00
Epacris glabella,Endangered,16-Jul-00
Epacris grandis,Endangered,16-Jul-00
Epacris hamiltonii,Endangered,16-Jul-00
Epacris sparsa,Endangered,4-Sep-24
Epacris virgata,Endangered,16-Jul-00
Eremochloa muricata,Endangered,16-Jul-00
Eremophila ciliata,Endangered,11-May-18
Eremophila denticulata subsp. trisulcata,Endangered,16-Jul-00
Eremophila glabra subsp. chlorella,Endangered,15-Feb-18
Eremophila lactea,Endangered,16-Jul-00
Eremophila nivea,Endangered,16-Jul-00
Eremophila pinnatifida,Endangered,16-Jul-00
Eremophila resinosa,Endangered,16-Jul-00
Eremophila scaberula,Endangered,16-Jul-00
Eremophila subteretifolia,Endangered,16-Jul-00
Eremophila ternifolia,Endangered,16-Jul-00
Eremophila verticillata,Endangered,16-Jul-00
Eremophila virens,Endangered,16-Jul-00
Eremophila viscida,Endangered,16-Jul-00
Eriocaulon australasicum,Endangered,16-Jul-00
Eriocaulon carsonii,Endangered,16-Jul-00
Eryngium fontanum,Endangered,16-Jul-00
Eucalyptus absita,Endangered,16-Jul-00
Eucalyptus alligatrix subsp. limaensis,Endangered,26-Feb-13
Eucalyptus brevipes,Endangered,16-Jul-00
Eucalyptus broviniensis,Endangered,20-Mar-23
Eucalyptus burdettiana,Endangered,16-Jul-00
Eucalyptus canobolensis,Endangered,19-Aug-10
Eucalyptus conglomerata,Endangered,16-Jul-00
Eucalyptus copulans,Endangered,16-Jul-00
Eucalyptus crenulata,Endangered,16-Jul-00
Eucalyptus crucis subsp. praecipua,Endangered,16-Jul-00
Eucalyptus cuprea,Endangered,16-Jul-00
Eucalyptus dolorosa,Endangered,16-Jul-00
Eucalyptus forresterae,Endangered,31-Mar-23
Eucalyptus gunnii subsp. divaricata,Endangered,1-May-03
Eucalyptus impensa = Eucalyptus x impensa,Endangered,16-Jul-00
Eucalyptus insularis,Endangered,16-Jul-00
Eucalyptus largeana,Endangered,11-May-18
Eucalyptus leprophloia,Endangered,16-Jul-00
Eucalyptus macarthurii,Endangered,5-May-16
Eucalyptus nudicaulis,Endangered,7-Sep-23
Eucalyptus pachycalyx subsp. banyabba,Endangered,16-Jul-00
Eucalyptus pruiniramis,Endangered,16-Jul-00
Eucalyptus recta,Endangered,11-Jun-09
Eucalyptus stenostoma,Endangered,7-Sep-23
Eucalyptus sturgissiana,Endangered,5-Mar-25
Eucalyptus taurina,Endangered,7-Sep-23
Eucalyptus x balanites,Endangered,16-Jul-00
Eucalyptus x paludicola,Endangered,27-Nov-06
Eucalyptus x phylacis,Endangered,16-Jul-00
Euphrasia collina subsp. muelleri,Endangered,16-Jul-00
Euphrasia collina subsp. osbornii,Endangered,16-Jul-00
Euphrasia semipicta,Endangered,16-Jul-00
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),Endangered,16-Jul-00
Fimbristylis adjuncta,Endangered,16-Jul-00
Frankenia conferta,Endangered,1-Feb-07
Frankenia parvula,Endangered,18-Aug-06
Frankenia plicata,Endangered,16-Jul-00
Gardenia actinocarpa,Endangered,16-Jul-00
Gastrolobium glaucum,Endangered,16-Jul-00
Gastrolobium graniticum,Endangered,16-Jul-00
Gastrolobium hamulosum,Endangered,16-Jul-00
Gastrolobium humile,Endangered,11-May-18
Gastrolobium papilio,Endangered,16-Jul-00
Gaultheria viridicarpa,Endangered,25-Sep-20
Geniostoma huttonii,Endangered,26-Jun-15
Genoplesium baueri,Endangered,25-Jan-14
Genoplesium plumosum = Corunastylis plumosa,Endangered,16-Jul-00
Genoplesium rhyoliticum = Corunastylis rhyolitica,Endangered,16-Jul-00
Genoplesium tectum = Corunastylis tecta,Endangered,16-Jul-00
Gentiana baeuerlenii,Endangered,16-Jul-00
Gentiana wingecarribiensis,Endangered,16-Jul-00
Gingidia rupicola,Endangered,16-Jul-00
Glyceria drummondii,Endangered,16-Jul-00
Goodenia arthrotricha,Endangered,15-Feb-18
Gossia fragrantissima,Endangered,16-Jul-00
Gossia gonoclada,Endangered,16-Jul-00
Grammosolen odgersii subsp. occidentalis,Endangered,16-Jul-00
Graptophyllum reticulatum,Endangered,16-Jul-00
Grevillea acanthifolia subsp. paludosa,Endangered,16-Jul-00
Grevillea acropogon,Endangered,4-Jul-19
Grevillea althoferorum,Endangered,16-Jul-00
Grevillea batrachioides,Endangered,16-Jul-00
Grevillea beadleana,Endangered,16-Jul-00
Grevillea calliantha,Endangered,16-Jul-00
Grevillea christineae,Endangered,16-Jul-00
Grevillea corrugata,Endangered,26-Feb-13
Grevillea curviloba subsp. curviloba,Endangered,16-Jul-00
Grevillea curviloba subsp. incurva,Endangered,16-Jul-00
Grevillea dryandroides subsp. dryandroides,Endangered,16-Jul-00
Grevillea dryandroides subsp. hirsuta,Endangered,16-Jul-00
Grevillea guthrieana,Endangered,16-Jul-00
Grevillea humifusa,Endangered,16-Jul-00
Grevillea iaspicula,Endangered,16-Jul-00
Grevillea infundibularis,Endangered,16-Jul-00
Grevillea involucrata,Endangered,16-Jul-00
Grevillea jephcottii,Endangered,31-Mar-23
Grevillea maccutcheonii,Endangered,16-Jul-00
Grevillea masonii,Endangered,16-Jul-00
Grevillea maxwellii,Endangered,16-Jul-00
Grevillea mollis,Endangered,16-Jul-00
Grevillea molyneuxii,Endangered,16-Jul-00
Grevillea murex,Endangered,16-Jul-00
Grevillea obtusiflora,Endangered,16-Jul-00
Grevillea pythara,Endangered,16-Jul-00
Grevillea rara,Endangered,16-Jul-00
Grevillea rhizomatosa,Endangered,5-Mar-25
Grevillea scapigera,Endangered,16-Jul-00
Habenaria maccraithii,Endangered,16-Jul-00
Hakea macrorrhyncha,Endangered,15-Nov-23
Hakea pulvinifera,Endangered,16-Jul-00
Haloragis eyreana,Endangered,16-Jul-00
Haloragodendron lucasii,Endangered,16-Jul-00
Helicteres macrothrix,Endangered,18-Aug-06
Hemiandra gardneri,Endangered,16-Jul-00
Hemiandra rutilans,Endangered,16-Jul-00
Hibbertia acaulothrix,Endangered,7-Sep-23
Hibbertia basaltica,Endangered,26-Nov-08
Hibbertia cistiflora subsp. quadristaminea,Endangered,7-Sep-23
Hibbertia praemorsa,Endangered,7-Sep-23
Homoranthus decumbens,Endangered,26-Feb-13
Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982),Endangered,4-Jul-19
Hypocalymma sp. Cascade (R.Bruhn 20896) = Hypocalymma magnificum,Endangered,4-Jul-19
Hypocalymma sylvestre,Endangered,11-May-18
Hypolepis distans = Hiya distans,Endangered,16-Oct-01
Indigofera efoliata,Endangered,16-Jul-00
Irenepharsus trypherus,Endangered,16-Jul-00
Isoglossa eranthemoides,Endangered,16-Jul-00
Isopogon uncinatus,Endangered,16-Jul-00
Jacksonia pungens,Endangered,16-Jul-00
Jacksonia quairading,Endangered,16-Jul-00
Jacksonia velveta,Endangered,16-Jul-00
Kardomia silvestris,Endangered,5-Mar-25
Kennedia lateritia,Endangered,16-Jul-00
Kunzea juniperoides subsp. pernervosa,Endangered,5-Sep-25
Lachnagrostis adamsonii,Endangered,16-Jul-00
Lachnagrostis limitanea,Endangered,16-Jul-00
Lambertia echinata subsp. echinata,Endangered,16-Jul-00
Lambertia echinata subsp. occidentalis,Endangered,16-Jul-00
Lambertia orbifolia,Endangered,16-Jul-00
Lasiopetalum pterocarpum,Endangered,16-Jul-00
Lasiopetalum rotundifolium,Endangered,16-Jul-00
Lastreopsis calantha,Endangered,25-Nov-03
Lechenaultia laricina,Endangered,16-Jul-00
Leionema equestre,Endangered,16-Jul-00
Leionema lachnaeoides,Endangered,16-Jul-00
Lepidium hyssopifolium,Endangered,16-Jul-00
Lepidium monoplocoides,Endangered,16-Jul-00
Lepidium peregrinum,Endangered,1-May-03
Lepidosperma rostratum,Endangered,16-Jul-00
Leptospermum thompsonii,Endangered,5-Mar-25
Leucochrysum albicans subsp. tricolor,Endangered,16-Jul-00
Leucopogon confertus,Endangered,16-Jul-00
Leucopogon marginatus,Endangered,16-Jul-00
Leucopogon nitidus,Endangered,15-Feb-18
Leucopogon obtectus,Endangered,16-Jul-00
Leucopogon sp. Coolmunda (D.Halford Q1635) = Styphelia sp. Coolmunda (D.Halford Q1635),Endangered,16-Jul-00
Livistona mariae subsp. mariae,Endangered,11-May-18
Lychnothamnus barbatus,Endangered,16-Jul-00
Macadamia jansenii,Endangered,16-Jul-00
Macarthuria keigheryi,Endangered,16-Jul-00
Macrozamia cranei,Endangered,16-Jul-00
Macrozamia johnsonii,Endangered,5-Oct-22
Macrozamia lomandroides,Endangered,16-Jul-00
Macrozamia pauli-guilielmi,Endangered,16-Jul-00
Macrozamia platyrhachis,Endangered,16-Jul-00
Marattia salicina = Ptisana salicina,Endangered,25-Nov-03
Marianthus paralius,Endangered,15-Feb-18
Melaleuca sciotostyla,Endangered,16-Jul-00
Melaleuca sp. Wanneroo (G.J. Keighery 16705),Endangered,4-Jul-19
Melichrus sp. Newfoundland State Forest (P.Gilmour 7852),Endangered,16-Jul-00
Microcarpaea agonis,Endangered,16-Jul-00
Micromyrtus grandis,Endangered,16-Jul-00
Microtis angusii,Endangered,16-Jul-00
Monotoca rotundifolia,Endangered,31-Mar-23
Muehlenbeckia australis,Endangered,25-Nov-03
Muehlenbeckia tuggeranong,Endangered,16-Jul-00
Myriophyllum lapidicola,Endangered,16-Jul-00
Myrsine richmondensis,Endangered,16-Jul-00
Ochrosia moorei,Endangered,16-Jul-00
Olearia arckaringensis,Endangered,7-Dec-16
Olearia flocktoniae,Endangered,16-Jul-00
Olearia hygrophila,Endangered,16-Jul-00
Olearia microdisca,Endangered,16-Jul-00
Olearia rugosa subsp. distalilobata,Endangered,15-Nov-23
Ornduffia calthifolia,Endangered,16-Jul-00
Pandanus spiralis var. flammeus,Endangered,16-Jul-00
Paracaleana dixonii = Caleana dixonii,Endangered,16-Jul-00
Parsonsia dorrigoensis,Endangered,16-Jul-00
Patersonia spirifolia,Endangered,16-Jul-00
Pelargonium sp. Striatellum (G.W.Carr 10345),Endangered,21-Dec-11
Pennantia endlicheri,Endangered,25-Nov-03
Persoonia acerosa,Endangered,4-Sep-24
Persoonia bargoensis,Endangered,7-Sep-23
Persoonia hindii,Endangered,4-Sep-24
Persoonia hirsuta,Endangered,16-Jul-00
Persoonia mollis subsp. maxima,Endangered,16-Jul-00
Persoonia nutans,Endangered,16-Jul-00
Persoonia oxycoccoides,Endangered,20-Mar-23
Petrophile latericola,Endangered,16-Jul-00
Phaius australis,Endangered,16-Jul-00
Phaius bernaysii,Endangered,16-Jul-00
Phalaenopsis amabilis subsp. rosenstromii = Phalaenopsis rosenstromii,Endangered,16-Jul-00
Phebalium distans,Endangered,22-Apr-22
Philotheca basistyla,Endangered,16-Jul-00
Philotheca freyciana,Endangered,26-Nov-08
Philotheca wonganensis,Endangered,16-Jul-00
Phlegmariurus carinatus,Endangered,16-Jul-00
Phlegmariurus dalhousieanus,Endangered,16-Jul-00
Phlegmariurus filiformis,Endangered,16-Jul-00
Phreatia paleata = Eria paleata,Endangered,25-Nov-03
Pimelea axiflora subsp. pubescens,Endangered,4-Jul-19
Pimelea spicata,Endangered,16-Jul-00
Pimelea venosa,Endangered,16-Jul-00
Pityrodia scabra subsp. scabra,Endangered,16-Jul-00
Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4) = Quoya zonalis,Endangered,11-May-18
Planchonella costata,Endangered,25-Nov-03
Planchonella eerwah,Endangered,16-Jul-00
Plectranthus habrophyllus = Coleus habrophyllus,Endangered,16-Jul-00
Plectranthus nitidus = Coleus nitidus,Endangered,16-Jul-00
Plectranthus omissus = Coleus omissus,Endangered,16-Jul-00
Plectranthus torrenticola = Coleus torrenticola,Endangered,16-Jul-00
Plesioneuron tuberculatum,Endangered,16-Jul-00
Polyphlebium endlicherianum,Endangered,25-Nov-03
Polystichum moorei,Endangered,26-Jun-15
Pomaderris cocoparrana,Endangered,11-May-18
Pomaderris cotoneaster,Endangered,16-Jul-00
Pomaderris gilmourii var. gilmourii,Endangered,5-Oct-22
Prasophyllum affine,Endangered,16-Jul-00
Prasophyllum amoenum,Endangered,16-Jul-00
Prasophyllum apoxychilum,Endangered,16-Jul-00
Prasophyllum correctum,Endangered,16-Jul-00
Prasophyllum crebriflorum,Endangered,26-Nov-08
Prasophyllum diversiflorum,Endangered,16-Jul-00
Prasophyllum frenchii,Endangered,16-Jul-00
Prasophyllum goldsackii,Endangered,27-Nov-06
Prasophyllum petilum,Endangered,16-Jul-00
Prasophyllum pruinosum,Endangered,19-Aug-10
Prasophyllum secutum,Endangered,16-Jul-00
Prasophyllum suaveolens,Endangered,16-Jul-00
Prasophyllum subbisectum,Endangered,16-Jul-00
Prasophyllum tunbridgense,Endangered,16-Jul-00
Prostanthera askania,Endangered,16-Jul-00
Prostanthera eurybioides,Endangered,16-Jul-00
Prostanthera junonis,Endangered,16-Jul-00
Prostanthera tallowa,Endangered,5-Mar-25
Pteris kingiana,Endangered,25-Nov-03
Pteris zahlbruckneriana,Endangered,25-Nov-03
Pterostylis X aenigma,Endangered,16-Jul-00
Pterostylis basaltica,Endangered,16-Jul-00
Pterostylis despectans,Endangered,16-Jul-00
Pterostylis gibbosa,Endangered,16-Jul-00
Pterostylis lepida,Endangered,16-Jul-00
Pterostylis metcalfei,Endangered,5-Mar-25
Pterostylis rubenachii,Endangered,16-Jul-00
Pterostylis saxicola,Endangered,16-Jul-00
Pterostylis sinuata,Endangered,16-Jul-00
Pterostylis sp. Botany Bay (A.Bishop J221/1-13),Endangered,16-Jul-00
Pterostylis sp. Hale (R.Bates 21725),Endangered,16-Jul-00
Ptilotus brachyanthus,Endangered,4-Sep-24
Ptilotus uncinellus,Endangered,4-Sep-24
Pultenaea aculeata,Endangered,4-Sep-24
Pultenaea baeuerlenii,Endangered,7-Sep-23
Pultenaea elusa,Endangered,16-Jul-00
Pultenaea trichophylla,Endangered,1-Dec-09
Randia moorei,Endangered,16-Jul-00
Ranunculus prasinus,Endangered,16-Jul-00
Rhizanthella slateri,Endangered,18-Dec-07
Ricinocarpos brevis,Endangered,19-Aug-10
Ricinocarpos trichophorus,Endangered,16-Jul-00
Roycea pycnophylloides,Endangered,16-Jul-00
Rutidosis leptorhynchoides,Endangered,16-Jul-00
Sagina diemensis,Endangered,26-Nov-08
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949),Endangered,16-Jul-00
Sankowskya stipularis,Endangered,16-Jul-00
Schoenia filifolia subsp. subulifolia,Endangered,8-Jan-09
Sclerolaena napiformis,Endangered,16-Jul-00
Senecio behrianus,Endangered,16-Jul-00
Senecio evansianus,Endangered,25-Nov-03
Solanum dissectum,Endangered,7-Dec-16
Solanum graniticum,Endangered,8-Dec-21
Solanum johnsonianum,Endangered,7-Dec-16
Solanum sulphureum,Endangered,7-Dec-16
Sphenotoma drummondii,Endangered,16-Jul-00
Spirogardnera rubescens,Endangered,16-Jul-00
Sporobolus pamelae,Endangered,8-Dec-21
Spyridium cinereum,Endangered,16-Jul-24
Spyridium furculentum,Endangered,16-Jul-00
Spyridium lawrencei,Endangered,16-Jul-00
Stonesiella selaginoides,Endangered,16-Jul-00
Streblus pendulinus,Endangered,25-Nov-03
Stylidium asymmetricum,Endangered,4-Jul-19
Stylidium coroniforme subsp. amblyphyllum,Endangered,4-Jul-19
Stylidium coroniforme subsp. coroniforme,Endangered,4-Jul-19
Stylidium ensatum,Endangered,5-May-16
Styphelia perileuca,Endangered,5-Jul-23
Swainsona recta,Endangered,16-Jul-00
Symonanthus bancroftii,Endangered,16-Jul-00
Synaphea quartzitica,Endangered,16-Jul-00
Synaphea sp. Pinjarra Plain (A.S.George 17182),Endangered,15-Feb-18
Synaphea stenoloba,Endangered,24-Dec-09
Tarennoidea wallichii,Endangered,31-Mar-22
Tectaria devexa,Endangered,16-Jul-00
Telopea aspera,Endangered,4-Sep-24
Tetratheca deltoidea,Endangered,16-Jul-00
Tetratheca paynterae,Endangered,16-Jul-00
Thelymitra dedmaniarum,Endangered,16-Jul-00
Thelymitra epipactoides,Endangered,16-Jul-00
Thelymitra jonesii,Endangered,4-Mar-11
Thelymitra matthewsii,Endangered,4-Sep-24
Thelymitra stellata,Endangered,16-Jul-00
Thismia clavarioides,Endangered,5-Sep-25
Thomasia sp. Green Hill (S.Paust 1322),Endangered,16-Jul-00
Toechima pterocarpum,Endangered,16-Jul-00
Toechima sp. East Alligator (J.Russell-Smith 8418),Endangered,18-Aug-06
Trachymene scapigera,Endangered,16-Jul-00
Triplarina imbricata,Endangered,16-Jul-00
Triplarina nowraensis,Endangered,16-Jul-00
Trithuria occidentalis,Endangered,16-Jul-00
Triunia robusta,Endangered,16-Jul-00
Tylophora linearis = Vincetoxicum forsteri,Endangered,16-Jul-00
Tylophora rupicola = Vincetoxicum rupicola,Endangered,16-Jul-00
Tylophora woollsii = Vincetoxicum woollsii,Endangered,16-Jul-00
Typhonium jonesii,Endangered,18-Aug-06
Typhonium mirabile,Endangered,18-Aug-06
Typhonium taylori = Typhonium taylorii,Endangered,18-Aug-06
Uromyrtus australis,Endangered,16-Jul-00
Vappodes lithocola,Endangered,16-Jul-00
Veronica lithophila,Endangered,5-Jul-23
Veronica parnkalliana,Endangered,5-May-16
Verticordia albida,Endangered,16-Jul-00
Verticordia densiflora var. pedunculata,Endangered,16-Jul-00
Verticordia fimbrilepis subsp. fimbrilepis,Endangered,16-Jul-00
Verticordia hughanii,Endangered,16-Jul-00
Verticordia pityrhops,Endangered,16-Jul-00
Verticordia plumosa var. ananeotes,Endangered,16-Jul-00
Verticordia plumosa var. vassensis,Endangered,16-Jul-00
Verticordia spicata subsp. squamosa,Endangered,16-Jul-00
Verticordia staminosa subsp. staminosa,Endangered,16-Jul-00
Verticordia staminosa var. cylindracea,Endangered,16-Jul-00
Viola improcera,Endangered,7-Sep-23
Vrydagzynea grayi,Endangered,16-Jul-00
Westringia crassifolia,Endangered,16-Jul-00
Westringia kydrensis,Endangered,16-Jul-00
Wurmbea calcicola,Endangered,16-Jul-00
Wurmbea tubulosa,Endangered,16-Jul-00
Xanthorrhoea bracteata,Endangered,16-Jul-00
Xanthostemon formosus,Endangered,16-Jul-00
Xerothamnella herbacea,Endangered,16-Jul-00
Xylopia monosperma,Endangered,18-Aug-06
Xylosma parvifolia,Endangered,26-Jun-15
Zehneria baueriana,Endangered,25-Nov-03
Zieria baeuerlenii,Endangered,16-Jul-00
Zieria bifida,Endangered,16-Jul-00
Zieria covenyi,Endangered,16-Jul-00
Zieria floydii,Endangered,16-Jul-00
Zieria formosa,Endangered,16-Jul-00
Zieria granulata,Endangered,16-Jul-00
Zieria ingramii,Endangered,16-Jul-00
Zieria lasiocaulis,Endangered,16-Jul-00
Zieria obcordata,Endangered,16-Jul-00
Zieria prostrata,Endangered,16-Jul-00
Acacia ammophila,Vulnerable,16-Jul-00
Acacia anomala,Vulnerable,16-Jul-00
Acacia aphylla,Vulnerable,16-Jul-00
Acacia araneosa,Vulnerable,16-Jul-00
Acacia attenuata,Vulnerable,16-Jul-00
Acacia awestoniana,Vulnerable,16-Jul-00
Acacia axillaris,Vulnerable,16-Jul-00
Acacia bynoeana,Vulnerable,16-Jul-00
Acacia caerulescens,Vulnerable,16-Jul-00
Acacia carneorum,Vulnerable,16-Jul-00
Acacia crombiei,Vulnerable,16-Jul-00
Acacia curranii,Vulnerable,16-Jul-00
Acacia denticulosa,Vulnerable,16-Jul-00
Acacia depressa,Vulnerable,16-Jul-00
Acacia deuteroneura,Vulnerable,16-Jul-00
Acacia eremophiloides,Vulnerable,16-Jul-00
Acacia flocktoniae,Vulnerable,16-Jul-00
Acacia forrestiana,Vulnerable,16-Jul-00
Acacia georgensis,Vulnerable,16-Jul-00
Acacia glandulicarpa,Vulnerable,16-Jul-00
Acacia grandifolia,Vulnerable,16-Jul-00
Acacia handonis,Vulnerable,16-Jul-00
Acacia latzii,Vulnerable,16-Jul-00
Acacia lauta,Vulnerable,16-Jul-00
Acacia macnuttiana,Vulnerable,16-Jul-00
Acacia menzelii,Vulnerable,16-Jul-00
Acacia peuce,Vulnerable,16-Jul-00
Acacia phasmoides,Vulnerable,16-Jul-00
Acacia pickardii,Vulnerable,16-Jul-00
Acacia praemorsa,Vulnerable,24-Dec-09
Acacia praetermissa,Vulnerable,18-Aug-06
Acacia pubescens,Vulnerable,16-Jul-00
Acacia pubifolia,Vulnerable,16-Jul-00
Acacia pycnostachya,Vulnerable,16-Jul-00
Acacia rhetinocarpa,Vulnerable,16-Jul-00
Acacia undoolyana,Vulnerable,16-Jul-00
Acriopsis emarginata,Vulnerable,16-Jul-00
Acrophyllum australe,Vulnerable,16-Jul-00
Actephila foetida,Vulnerable,16-Jul-00
Actinotus schwarzii,Vulnerable,16-Jul-00
Adenanthos ellipticus,Vulnerable,16-Jul-00
