Name ,Status,Date of Classification
Homoranthus lunatus,Vulnerable,16-Jul-00
Homoranthus montanus,Vulnerable,16-Jul-00
Homoranthus porteri,Vulnerable,16-Jul-00
Homoranthus prolixus,Vulnerable,16-Jul-00
Hoya australis subsp. oramicola,Vulnerable,18-Aug-06
Hydriastele costata,Vulnerable,16-Jul-00
Hypocalymma longifolium,Vulnerable,26-Feb-13
Hypolepis dicksonioides,Vulnerable,25-Nov-03
Ileostylus micranthus,Vulnerable,25-Nov-03
Isopogon fletcheri,Vulnerable,16-Jul-00
Ixodia achillaeoides subsp. arenicola,Vulnerable,16-Jul-00
Kardomia granitica,Vulnerable,16-Jul-00
Kelleria bogongensis,Vulnerable,16-Jul-00
Kennedia glabrata,Vulnerable,16-Jul-00
Kennedia retrorsa,Vulnerable,16-Jul-00
Kunzea cambagei,Vulnerable,16-Jul-00
Kunzea ericifolia subsp. subulata,Vulnerable,11-May-18
Kunzea rupestris,Vulnerable,16-Jul-00
Lasiopetalum joyceae,Vulnerable,16-Jul-00
Lasiopetalum longistamineum,Vulnerable,16-Jul-00
Lastreopsis walleri,Vulnerable,16-Jul-00
Lawrencia buchananensis,Vulnerable,16-Jul-00
Lechenaultia chlorantha,Vulnerable,16-Jul-00
Leiocarpa gatesii,Vulnerable,16-Jul-00
Leionema obtusifolium,Vulnerable,16-Jul-00
Leionema ralstonii,Vulnerable,16-Jul-00
Leionema sympetalum,Vulnerable,16-Jul-00
Lepidium aschersonii,Vulnerable,16-Jul-00
Lepidium pseudopapillosum,Vulnerable,16-Jul-00
Leptomeria dielsiana,Vulnerable,16-Jul-00
Leptospermum deanei = Gaudium deanei,Vulnerable,16-Jul-00
Leucopogon exolasius,Vulnerable,16-Jul-00
Leucopogon sp. Ongerup (A.S.George 16682) = Styphelia disjuncta,Vulnerable,15-Feb-18
Limonium australe var. baudinii,Vulnerable,13-Apr-05
Limosella granitica,Vulnerable,16-Jul-00
Lindsaea pulchella var. blanda,Vulnerable,16-Jul-00
Livistona lanuginosa,Vulnerable,16-Jul-00
Lobelia gelida,Vulnerable,16-Jul-00
Logania diffusa,Vulnerable,16-Jul-00
Logania insularis,Vulnerable,16-Jul-00
Macadamia integrifolia,Vulnerable,16-Jul-00
Macadamia ternifolia,Vulnerable,16-Jul-00
Macadamia tetraphylla,Vulnerable,16-Jul-00
Macropteranthes montana,Vulnerable,16-Jul-00
Macrozamia conferta,Vulnerable,16-Jul-00
Macrozamia macdonnellii,Vulnerable,16-Jul-00
Macrozamia machinii,Vulnerable,16-Jul-00
Macrozamia occidua,Vulnerable,16-Jul-00
Macrozamia parcifolia,Vulnerable,16-Jul-00
Maireana cheelii,Vulnerable,16-Jul-00
Marsdenia brevifolia = Leichhardtia brevifolia,Vulnerable,16-Jul-00
Marsdenia longiloba = Leichhardtia longiloba,Vulnerable,16-Jul-00
Marsdenia paludicola = Leichhardtia paludicola,Vulnerable,16-Jul-00
Medicosma elliptica,Vulnerable,16-Jul-00
Medicosma obovata,Vulnerable,16-Jul-00
Melaleuca biconvexa,Vulnerable,16-Jul-00
Melaleuca deanei,Vulnerable,4-Apr-01
Melaleuca kunzeoides,Vulnerable,16-Jul-00
Melicope littoralis,Vulnerable,25-Nov-03
Melicytus ramiflorus subsp. oblongifolius,Vulnerable,25-Nov-03
Meryta angustifolia,Vulnerable,25-Nov-03
Microcorys eremophiloides,Vulnerable,16-Jul-00
Microlepidium alatum,Vulnerable,16-Jul-00
Micromyrtus blakelyi,Vulnerable,16-Jul-00
Micromyrtus minutiflora,Vulnerable,16-Jul-00
Microtis globula,Vulnerable,16-Jul-00
Minuria tridens,Vulnerable,16-Jul-00
Mitrella tiwiensis,Vulnerable,18-Aug-06
Myoporum cordifolium,Vulnerable,16-Jul-00
Myriophyllum coronatum,Vulnerable,16-Jul-00
Myriophyllum porcatum,Vulnerable,16-Jul-00
Myrmecodia beccarii,Vulnerable,16-Jul-00
Myrsine ralstoniae,Vulnerable,25-Nov-03
Neisosperma kilneri,Vulnerable,16-Jul-00
Nematolepis squamea subsp. coriacea,Vulnerable,16-Jul-00
Nematolepis wilsonii,Vulnerable,16-Jul-00
Neoastelia spectabilis,Vulnerable,16-Jul-00
Neoroepera buxifolia,Vulnerable,16-Jul-00
Newcastelia velutina,Vulnerable,16-Jul-00
Notelaea lloydii,Vulnerable,16-Jul-00
Olax angulata,Vulnerable,16-Jul-00
Olearia astroloba,Vulnerable,16-Jul-00
Olearia cordata,Vulnerable,16-Jul-00
Olearia macdonnellensis,Vulnerable,16-Jul-00
Olearia pannosa subsp. pannosa,Vulnerable,16-Jul-00
Omphalea celata,Vulnerable,16-Jul-00
Oreogrammitis reinwardtii,Vulnerable,16-Jul-00
Owenia cepiodora,Vulnerable,16-Jul-00
Ozothamnus eriocephalus,Vulnerable,16-Jul-00
Ozothamnus reflexifolius,Vulnerable,6-Jul-04
Ozothamnus tesselatus,Vulnerable,16-Jul-00
Ozothamnus vagans,Vulnerable,16-Jul-00
Parsonsia larcomensis,Vulnerable,16-Jul-00
Paspalidium grandispiculatum,Vulnerable,16-Jul-00
Persicaria elatior,Vulnerable,16-Jul-00
Persoonia glaucescens,Vulnerable,16-Jul-00
Persoonia marginata,Vulnerable,16-Jul-00
Persoonia mollis subsp. revoluta,Vulnerable,24-Jun-21
Petrophile nivea,Vulnerable,11-May-18
Phaius pictus,Vulnerable,16-Jul-00
Phaleria biflora,Vulnerable,16-Jul-00
Phebalium glandulosum subsp. eglandulosum,Vulnerable,16-Jul-00
Phebalium lowanense,Vulnerable,16-Jul-00
Phebalium whitei,Vulnerable,16-Jul-00
Philotheca obovatifolia,Vulnerable,7-Sep-23
Philotheca papillata,Vulnerable,7-Dec-21
Phlegmariurus lockyeri,Vulnerable,16-Jul-00
Phlegmariurus marsupiiformis = Phlegmariurus delbrueckii,Vulnerable,16-Jul-00
Phlegmariurus tetrastichoides,Vulnerable,16-Jul-00
Phyllota humifusa,Vulnerable,16-Jul-00
Picris evae,Vulnerable,16-Jul-00
Pimelea curviflora var. curviflora,Vulnerable,16-Jul-00
Pimelea leptospermoides,Vulnerable,16-Jul-00
Pimelea pagophila,Vulnerable,16-Jul-00
Pittosporum bracteolatum,Vulnerable,25-Nov-03
Pityrodia augustensis,Vulnerable,16-Jul-00
Plectranthus gratus = Coleus gratus,Vulnerable,16-Jul-00
Plectranthus leiperi = Coleus leiperi,Vulnerable,16-Jul-00
Pleuropappus phyllocalymmeus = Angianthus phyllocalymmeus,Vulnerable,16-Jul-00
Poa sallacustris,Vulnerable,16-Jul-00
Polianthion minutiflorum,Vulnerable,16-Jul-00
Polyscias bellendenkerensis,Vulnerable,16-Jul-00
Pomaderris brunnea,Vulnerable,16-Jul-00
Pomaderris clivicola,Vulnerable,16-Jul-00
Pomaderris halmaturina subsp. halmaturina,Vulnerable,16-Jul-00
Pomaderris pallida,Vulnerable,16-Jul-00
Pomaderris parrisiae,Vulnerable,16-Jul-00
Pomaderris pilifera subsp. talpicutica,Vulnerable,26-Feb-13
Pomaderris subplicata,Vulnerable,16-Jul-00
Poranthera petalifera,Vulnerable,16-Jul-00
Prasophyllum colemaniae = Prasophyllum colemaniarum,Vulnerable,16-Jul-00
Prasophyllum fuscum,Vulnerable,16-Jul-00
Prasophyllum morganii,Vulnerable,16-Jul-00
Prasophyllum pallidum,Vulnerable,16-Jul-00
Prasophyllum spicatum,Vulnerable,16-Jul-00
Prasophyllum validum,Vulnerable,16-Jul-00
Prasophyllum wallum,Vulnerable,16-Jul-00
Prostanthera calycina,Vulnerable,16-Jul-00
Prostanthera cineolifera,Vulnerable,16-Jul-00
Prostanthera cryptandroides subsp. cryptandroides,Vulnerable,16-Jul-00
Prostanthera densa,Vulnerable,16-Jul-00
Prostanthera discolor,Vulnerable,16-Jul-00
Prostanthera galbraithiae,Vulnerable,16-Jul-00
Prostanthera nudula,Vulnerable,16-Jul-00
Prostanthera schultzii,Vulnerable,16-Jul-00
Prostanthera sp. Dunmore (D.M.Gordon 8A),Vulnerable,16-Jul-00
Prostanthera spathulata,Vulnerable,16-Jul-00
Prostanthera stricta,Vulnerable,16-Jul-00
Pseudocephalozia paludicola,Vulnerable,16-Jul-00
Pterostylis arenicola,Vulnerable,16-Jul-00
Pterostylis bicornis,Vulnerable,16-Jul-00
Pterostylis cheraphila,Vulnerable,16-Jul-00
Pterostylis chlorogramma,Vulnerable,16-Jul-00
Pterostylis cucullata,Vulnerable,16-Jul-00
Pterostylis mirabilis,Vulnerable,16-Jul-00
Pterostylis pratensis,Vulnerable,16-Oct-01
Pterostylis pulchella,Vulnerable,16-Jul-00
Pterostylis tenuissima,Vulnerable,16-Jul-00
Pterostylis xerophila,Vulnerable,16-Jul-00
Pterostylis ziegeleri,Vulnerable,26-Nov-08
Ptilotus beckerianus,Vulnerable,16-Jul-00
Ptychosema pusillum,Vulnerable,16-Jul-00
Pultenaea aristata,Vulnerable,16-Jul-00
Pultenaea glabra,Vulnerable,16-Jul-00
Pultenaea parrisiae,Vulnerable,16-Jul-00
Pultenaea parviflora,Vulnerable,16-Jul-00
Pultenaea pauciflora,Vulnerable,16-Jul-00
Pultenaea setulosa,Vulnerable,16-Jul-00
Pultenaea villifera var. glabrescens,Vulnerable,16-Jul-00
Pultenaea williamsoniana,Vulnerable,16-Jul-00
Ranunculus anemoneus,Vulnerable,16-Jul-00
Rhagodia acicularis,Vulnerable,16-Jul-00
Rhaphidospora bonneyana,Vulnerable,16-Jul-00
Rhaponticum australe = Leuzea australis,Vulnerable,16-Jul-00
Rhinerrhizopsis matutina,Vulnerable,16-Jul-00
Ricinocarpos gloria-medii,Vulnerable,16-Jul-00
Ristantia gouldii,Vulnerable,16-Jul-00
Romnalda strobilacea,Vulnerable,16-Jul-00
Rutidosis heterogama,Vulnerable,16-Jul-00
Rutidosis leiolepis,Vulnerable,16-Jul-00
Rytidosperma pumilum,Vulnerable,16-Jul-00
Samadera bidwillii,Vulnerable,16-Jul-00
Sannantha crenulata,Vulnerable,16-Jul-00
Sannantha tozerensis,Vulnerable,16-Jul-00
Sarcochilus fitzgeraldii,Vulnerable,16-Jul-00
Sarcochilus hartmannii,Vulnerable,16-Jul-00
Sarcochilus hirticalcar,Vulnerable,16-Jul-00
Sarcochilus weinthalii,Vulnerable,16-Jul-00
Sclerolaena blakei,Vulnerable,16-Jul-00
Sclerolaena walkeri,Vulnerable,16-Jul-00
Selaginella andrewsii,Vulnerable,23-Feb-13
Senecio australis,Vulnerable,25-Nov-03
Senecio hooglandii,Vulnerable,25-Nov-03
Senecio macrocarpus,Vulnerable,16-Jul-00
Senecio megaglossus,Vulnerable,16-Jul-00
Senecio psilocarpus,Vulnerable,16-Jul-00
Solanum dunalianum,Vulnerable,16-Jul-00
Solanum karsense,Vulnerable,16-Jul-00
Sophora fraseri,Vulnerable,16-Jul-00
Spyridium coactilifolium,Vulnerable,16-Jul-00
Spyridium eriocephalum var. glabrisepalum = Spyridium glabrisepalum,Vulnerable,16-Jul-00
Spyridium obcordatum,Vulnerable,16-Jul-00
Stachystemon nematophorus,Vulnerable,18-Aug-06
Stackhousia annua,Vulnerable,16-Jul-00
Stenanthemum pimeleoides,Vulnerable,26-Nov-08
Stylidium galioides,Vulnerable,16-Jul-00
Swainsona murrayana,Vulnerable,16-Jul-00
Swainsona plagiotropis,Vulnerable,16-Jul-00
Swainsona pyrophila,Vulnerable,16-Jul-00
Symplocos baeuerlenii,Vulnerable,16-Jul-00
Syzygium hodgkinsoniae,Vulnerable,16-Jul-00
Syzygium moorei,Vulnerable,16-Jul-00
Syzygium paniculatum,Vulnerable,16-Jul-00
Syzygium velarum,Vulnerable,16-Jul-00
Taeniophyllum norfolkianum,Vulnerable,25-Nov-03
Taraxacum cygnorum,Vulnerable,16-Jul-00
Tasmannia glaucifolia,Vulnerable,16-Jul-00
Tecticornia bulbosa,Vulnerable,16-Jul-00
Tecticornia flabelliformis,Vulnerable,16-Jul-00
Tephrosia leveillei,Vulnerable,16-Jul-00
Tetraria australiensis = Morelotia australiensis,Vulnerable,16-Jul-00
Tetratheca aphylla,Vulnerable,16-Jul-00
Tetratheca harperi,Vulnerable,16-Jul-00
Tetratheca juncea,Vulnerable,16-Jul-00
Thelymitra mackibbinii,Vulnerable,16-Jul-00
Thelymitra psammophila,Vulnerable,16-Jul-00
Thesium australe,Vulnerable,16-Jul-00
Thomasia glabripetala,Vulnerable,16-Jul-00
Thomasia montana,Vulnerable,16-Jul-00
Thryptomene wittweri,Vulnerable,16-Jul-00
Tmesipteris norfolkensis,Vulnerable,25-Nov-03
Tomophyllum walleri,Vulnerable,16-Jul-00
Tribonanthes purpurea,Vulnerable,16-Jul-00
Trichanthodium baracchianum,Vulnerable,16-Jul-00
Triplarina nitchaga,Vulnerable,16-Jul-00
Tropilis callitrophilis = Dendrobium callitrophilum,Vulnerable,16-Jul-00
Ungeria floribunda,Vulnerable,25-Nov-03
Vanda hindsii,Vulnerable,16-Jul-00
Vappodes phalaenopsis,Vulnerable,16-Jul-00
Velleia perfoliata,Vulnerable,16-Jul-00
Veronica ciliolata,Vulnerable,26-Nov-08
Verticordia carinata,Vulnerable,16-Jul-00
Verticordia crebra,Vulnerable,16-Jul-00
Verticordia fimbrilepis subsp. australis,Vulnerable,16-Jul-00
Verticordia helichrysantha,Vulnerable,16-Jul-00
Westringia davidii,Vulnerable,16-Jul-00
Westringia parvifolia,Vulnerable,16-Jul-00
Westringia rupicola,Vulnerable,16-Jul-00
Xanthorrhoea arenaria,Vulnerable,16-Jul-00
Xanthostemon oppositifolius,Vulnerable,16-Jul-00
Xerochrysum palustre,Vulnerable,16-Jul-00
Xerothamnella parvifolia,Vulnerable,16-Jul-00
Zeuxine polygonoides,Vulnerable,16-Jul-00
Zieria citriodora,Vulnerable,16-Jul-00
Zieria collina,Vulnerable,16-Jul-00
Zieria involucrata,Vulnerable,16-Jul-00
Zieria murphyi,Vulnerable,16-Jul-00
Zieria obovata,Vulnerable,16-Jul-00
Zieria rimulosa,Vulnerable,16-Jul-00
Zieria tuberculata,Vulnerable,16-Jul-00
Zieria verrucosa,Vulnerable,16-Jul-00
